vehicle_number,driver_name,vehicle_manufacturer,leader_lap,lap_count,pit_in_flag_status,pit_out_flag_status,pit_in_race_time,pit_out_race_time,total_duration,box_stop_race_time,box_leave_race_time,pit_stop_duration,in_travel_duration,out_travel_duration,pit_stop_type,left_front_tire_changed,left_rear_tire_changed,right_front_tire_changed,right_rear_tire_changed,previous_lap_time,next_lap_time,pit_in_rank,pit_out_rank,positions_gained_lost,race_id
51,Kyle Busch(i),Toyota,17,17,1,1,1466.102,1521.229,55.1269,1498.993,1519.145,20.152,32.891,2.0839,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
7,Alex Bowman(i),Chevrolet,17,17,1,1,1474.497,1526.49,51.9929,1502.5631,1518.8062,16.243,28.0661,7.6837,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
17,Harrison Burton(i),Ford,17,16,1,1,1421.551,1477.257,55.706,1451.9112,1469.5952,17.684,30.3602,7.6617,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
25,Matt DiBenedetto,Chevrolet,21,21,2,2,1901.547,1957.287,55.74,1923.1367,1941.8215,18.6848,21.5897,15.4654,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
98,Christian Eckes,Toyota,21,21,2,2,1905.128,1964.379,59.2509,1919.071,1942.1143,23.0433,13.943,22.2646,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
24,Jack Wood #,Chevrolet,21,21,2,2,1913.998,1979.821,65.8229,1930.427,1958.863,28.4359,16.429,20.9579,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
12,Spencer Boyd,Chevrolet,21,21,2,2,1923.239,2002.806,79.567,1943.8602,1984.9619,41.1017,20.6212,17.844,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
16,Tyler Ankrum,Toyota,21,21,2,2,1899.374,1954.655,55.2809,1913.0495,1931.0066,17.957,13.6755,23.6483,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
43,Brad Perez,Toyota,21,21,2,2,1921.378,2033.996,112.618,1935.1989,2009.6055,74.4065,13.8209,24.3904,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
20,Austin Dillon(i),Chevrolet,21,21,2,2,1903.56,1962.935,59.375,1920.5212,1942.4763,21.955,16.9612,20.4586,FOUR_WHEEL_CHANGE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,5229
