race_id,series_id,race_season,rr_id
4835,2,2019,25
4836,2,2019,26
4837,2,2019,27
4838,2,2019,28
4839,2,2019,29
4840,2,2019,30
4841,2,2019,31
4842,2,2019,32
4843,2,2019,33
4844,3,2019,01
4845,3,2019,02
4846,3,2019,03
4847,3,2019,04
4851,3,2019,05
4848,3,2019,06
4849,3,2019,07
4850,3,2019,08
4864,3,2019,09
4852,3,2019,10
4853,3,2019,11
4854,3,2019,12
4855,3,2019,13
4857,3,2019,14
4856,3,2019,15
4858,3,2019,16
4859,3,2019,17
4860,3,2019,18
4861,3,2019,19
4862,3,2019,20
4863,3,2019,21
4865,3,2019,22
4866,3,2019,23
4871,1,2020,01
4873,1,2020,02
4875,1,2020,03
4874,1,2020,04
4967,1,2020,05
4968,1,2020,06
4885,1,2020,07
4969,1,2020,08
4971,1,2020,09
4972,1,2020,10
4973,1,2020,11
4974,1,2020,12
4975,1,2020,13
4886,1,2020,14
4893,1,2020,15
4898,1,2020,16
4891,1,2020,17
4985,1,2020,18
4986,1,2020,19
4892,1,2020,20
4992,1,2020,21
4895,1,2020,22
4894,1,2020,23
4993,1,2020,24
4902,1,2020,25
4890,1,2020,26
4897,1,2020,27
4900,1,2020,28
4896,1,2020,29
4899,1,2020,30
4903,1,2020,31
4901,1,2020,32
4904,1,2020,33
4906,1,2020,34
4905,1,2020,35
4907,1,2020,36
4909,2,2020,01
4911,2,2020,02
4913,2,2020,03
4912,2,2020,04
4970,2,2020,05
4919,2,2020,06
4976,2,2020,07
4977,2,2020,08
4978,2,2020,09
4979,2,2020,10
4980,2,2020,11
4920,2,2020,12
4933,2,2020,13
4987,2,2020,14
4925,2,2020,15
4926,2,2020,16
4988,2,2020,17
4931,2,2020,18
4928,2,2020,19
4937,2,2020,20
4994,2,2020,21
4924,2,2020,22
4932,2,2020,23
4935,2,2020,24
5000,2,2020,25
4930,2,2020,26
4934,2,2020,27
5001,2,2020,28
4936,2,2020,29
4938,2,2020,30
4939,2,2020,31
4916,2,2020,32
4940,2,2020,33
4942,3,2020,01
4944,3,2020,02
4949,3,2020,03
4981,3,2020,04
4982,3,2020,05
4955,3,2020,06
4954,3,2020,07
4989,3,2020,08
4990,3,2020,09
4991,3,2020,10
4995,3,2020,11
4996,3,2020,12
4997,3,2020,13
4952,3,2020,14
5002,3,2020,15
5004,3,2020,16
4958,3,2020,17
4960,3,2020,18
4961,3,2020,19
5003,3,2020,20
5005,3,2020,21
4962,3,2020,22
4963,3,2020,23
5009,1,2021,01
5020,1,2021,02
5011,1,2021,03
5010,1,2021,04
5012,1,2021,05
5013,1,2021,06
5017,1,2021,07
5019,1,2021,08
5038,1,2021,09
5021,1,2021,10
5029,1,2021,11
5014,1,2021,12
5034,1,2021,13
5033,1,2021,14
5015,1,2021,15
5042,1,2021,16
5035,1,2021,17
5022,1,2021,18
5023,1,2021,19
5054,1,2021,20
5018,1,2021,21
5030,1,2021,22
5071,1,2021,23
5074,1,2021,24
5031,1,2021,25
5036,1,2021,26
5078,1,2021,27
5079,1,2021,28
5039,1,2021,29
5081,1,2021,30
5082,1,2021,31
5083,1,2021,32
5044,1,2021,33
5084,1,2021,34
5060,1,2021,35
5087,1,2021,36
5088,2,2021,01
5089,2,2021,02
5090,2,2021,03
5091,2,2021,04
5092,2,2021,05
5093,2,2021,06
5094,2,2021,07
5095,2,2021,08
5096,2,2021,09
5097,2,2021,10
5098,2,2021,11
5099,2,2021,12
5100,2,2021,13
5101,2,2021,14
5102,2,2021,15
5103,2,2021,16
5104,2,2021,17
5105,2,2021,18
5106,2,2021,19
5107,2,2021,20
5108,2,2021,21
5109,2,2021,22
5110,2,2021,23
5111,2,2021,24
5112,2,2021,25
5113,2,2021,26
5114,2,2021,27
5115,2,2021,28
5116,2,2021,29
5117,2,2021,30
5118,2,2021,31
5119,2,2021,32
5120,2,2021,33
5121,3,2021,01
5122,3,2021,02
5123,3,2021,03
5124,3,2021,04
5125,3,2021,05
5126,3,2021,06
5127,3,2021,07
5128,3,2021,08
5129,3,2021,09
5130,3,2021,10
5131,3,2021,11
5132,3,2021,12
5133,3,2021,13
5134,3,2021,14
5135,3,2021,15
5136,3,2021,16
5137,3,2021,17
5138,3,2021,18
5139,3,2021,19
5140,3,2021,20
5141,3,2021,21
5142,3,2021,22
5146,1,2022,01
5147,1,2022,02
5148,1,2022,03
5149,1,2022,04
5150,1,2022,05
5151,1,2022,06
5152,1,2022,07
5153,1,2022,08
5154,1,2022,09
5155,1,2022,10
5156,1,2022,11
5157,1,2022,12
5158,1,2022,13
5161,1,2022,14
5162,1,2022,15
5163,1,2022,16
5164,1,2022,17
5165,1,2022,18
5166,1,2022,19
5167,1,2022,20
5168,1,2022,21
5169,1,2022,22
5170,1,2022,23
5171,1,2022,24
5172,1,2022,25
5173,1,2022,26
5174,1,2022,27
5175,1,2022,28
5176,1,2022,29
5177,1,2022,30
5178,1,2022,31
5179,1,2022,32
5180,1,2022,33
5181,1,2022,34
5182,1,2022,35
5183,1,2022,36
5184,2,2022,01
5185,2,2022,02
5186,2,2022,03
5187,2,2022,04
5188,2,2022,05
5189,2,2022,06
5190,2,2022,07
5191,2,2022,08
5194,2,2022,09
5193,2,2022,10
5207,2,2022,11
5197,2,2022,12
5195,2,2022,13
5196,2,2022,14
5198,2,2022,15
5200,2,2022,16
5201,2,2022,17
5202,2,2022,18
5199,2,2022,19
5204,2,2022,20
5205,2,2022,21
5203,2,2022,22
5206,2,2022,23
5217,2,2022,24
5214,2,2022,25
5209,2,2022,26
5213,2,2022,27
5211,2,2022,28
5212,2,2022,29
5210,2,2022,30
5208,2,2022,31
5215,2,2022,32
5216,2,2022,33
5218,3,2022,01
5219,3,2022,02
5220,3,2022,03
5221,3,2022,04
5222,3,2022,05
5223,3,2022,06
5224,3,2022,07
5225,3,2022,08
5226,3,2022,09
5227,3,2022,10
5228,3,2022,11
5229,3,2022,12
5230,3,2022,13
5231,3,2022,14
5232,3,2022,15
5233,3,2022,16
5234,3,2022,17
5235,3,2022,18
5236,3,2022,19
5237,3,2022,20
5238,3,2022,21
5239,3,2022,22
5240,3,2022,23
5268,1,2023,01
5269,1,2023,02
5270,1,2023,03
5271,1,2023,04
5272,1,2023,05
5273,1,2023,06
5274,1,2023,07
5280,1,2023,08
5275,1,2023,09
5281,1,2023,10
5282,1,2023,11
5284,1,2023,12
5283,1,2023,13
5287,1,2023,14
5288,1,2023,15
5289,1,2023,16
5290,1,2023,17
5291,1,2023,18
5292,1,2023,19
5293,1,2023,20
5294,1,2023,21
5297,1,2023,22
5296,1,2023,23
