race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,pole_winner_laptime,short_name
4705,1,2018,South Point 400,1,FALSE,42,Las Vegas Motor Speedway,2018-09-16T15:00:00,2018-09-16T15:00:00,2018-09-14T00:00:00,400,408,267,272,80,80,112,40,4059,188.121,23,9,12,59,111.849,03:28:15,1.276,0,"Brad Keselowski won the Inaugural South Point 400 at Las Vegas Motor Speedway, his 27th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Update on cars to the rear: No. 51 (rear gear change), No. 3 (unapproved body modification).",0,PRN,NBCSN,4705,NA,Las Vegas
4703,1,2018,Federated Auto Parts 400,1,FALSE,26,Richmond Raceway,2018-09-22T19:30:00,2018-09-22T19:30:00,2018-09-21T00:00:00,300,300,400,400,100,100,200,40,1416,121.88,16,8,3,23,103.152,02:54:30,0.777,0,"Kyle Busch won the 61st Annual Federated Auto Parts 400, his 50th victory in 490 NASCAR Monster Energy Cup Series races.",0,MRN,NBCSN,1544,NA,Richmond
4707,1,2018,Bank of America ROVAL 400,1,FALSE,210,Charlotte Motor Speedway Road Course,2018-09-30T14:00:00,2018-09-30T14:00:00,2018-09-28T00:00:00,248.52,248.52,109,109,25,25,59,40,453,106.868,10,8,8,16,82.125,03:01:34,0.792,0,"Ryan Blaney won the inaugural Bank of America ROVAL 400 at the Charlotte Motor Speedway Road Course, his second victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 11, 2, 20, 43 (Back-up car), 95 (engine change).",0,PRN,NBC,4707,NA,ROVAL
4706,1,2018,Gander Outdoors 400,1,FALSE,103,Dover International Speedway,2018-10-07T14:00:00,2018-10-07T14:00:00,2018-10-05T00:00:00,400,404,400,404,120,120,164,39,0,0,15,8,5,31,122.404,03:18:02,0.265,0,"Chase Elliott won the Gander Outdoors 400 at Dover International Speedway, his second victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 43 (failed pre- race inspection).",0,MRN,NBCSN,1038,NA,Dover
4708,1,2018,1000Bulbs.com 500,1,TRUE,82,Talladega Superspeedway,2018-10-14T14:00:00,2018-10-14T14:00:00,2018-10-13T00:00:00,500.08,513.38,188,193,55,55,83,40,453,195.804,15,11,8,32,153.707,03:20:24,0.105,0,"Aric Almirola won the 50th 1000Bulbs.com 500 at Talladega Superspeedway, his second victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 00, 42 (unapproved adjustments).",0,MRN,NBC,937,NA,Talladega
4709,1,2018,Hollywood Casino 400,1,FALSE,41,Kansas Speedway,2018-10-21T14:30:00,2018-10-21T14:30:00,2018-10-19T00:00:00,400.5,400.5,267,267,80,80,107,40,3859,191.646,11,8,3,17,152.057,02:38:02,0.903,0,"Chase Elliott won the Hollywood Casino 400 at the Kansas Speedway, his third victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 1, 66 (engine change), 42 (backup car).",0,MRN,NBC,1950,NA,Kansas
4710,1,2018,First Data 500,1,FALSE,22,Martinsville Speedway,2018-10-28T14:30:00,2018-10-28T14:30:00,2018-10-27T00:00:00,263,263,500,500,130,30,340,40,454,96.254,11,6,8,68,75.31,03:29:32,0.107,0,"Joey Logano won the First Data 500 at Martinsville Speedway, his 20th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 2, 99 (unapproved adjustments), 21 (engine change), 43 (backup car).",0,MRN,NBCSN,6,NA,Martinsville
4711,1,2018,AAA Texas 500,1,FALSE,43,Texas Motor Speedway,2018-11-04T15:00:00,2018-11-04T15:00:00,2018-11-02T00:00:00,501,505.5,334,337,85,85,167,40,4023,200.505,16,7,8,37,150.558,03:21:27,0.447,0,"Kevin Harvick won the AAA Texas 500 at Texas Motor Speedway, his 45th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 19, 37, 78 (engine change), 32 (transmission change), 24, 48 (failed pre-race inspection) and 10 (unapproved body modification).",0,PRN,NBCSN,2100,NA,Texas
4712,1,2018,Can-Am 500,1,FALSE,84,ISM Raceway,2018-11-11T14:30:00,2018-11-11T14:30:00,2018-11-09T00:00:00,312,312,312,312,75,75,162,39,1416,139.34,15,8,10,61,98.354,03:10:20,0.501,0,"Kyle Busch won the Can-Am 500 at ISM Raceway, his 51st victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear under penalty for the reason indicated: Nos. 21, 51 (backup car).",0,MRN,NBC,1550,NA,Phoenix
4713,1,2018,Ford EcoBoost 400,1,FALSE,40,Homestead-Miami Speedway,2018-11-18T15:00:00,2018-11-18T15:00:00,2018-11-16T00:00:00,400.5,400.5,267,267,80,80,107,39,1361,173.863,22,7,5,26,133.056,03:00:36,1.725,0,"Joey Logano won the Ford EcoBoost 400 at Homestead-Miami Speedway, his 21st Monster Energy NASCAR Cup Series victory. Prior to the start of the race, no cars dropped to the rear of the field under penalty.",0,MRN,NBC,1887,NA,Homestead
