race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,pole_winner_laptime,short_name
4790,1,2019,Toyota / Save Mart 350,1,FALSE,99,Sonoma Raceway,2019-06-23T15:00:00,2019-06-23T12:00:00,2019-06-23T12:00:00,226.8,2.52,90,90,20,20,50,38,4030,95.712,7,6,2,6,83.922,2:42:09,1.861,0,"Martin Truex Jr. won the 31st Annual Toyota/Save Mart 350 at Sonoma Raceway. His 23rd victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: #41 (engine change), #20, 51 (unapproved adjustments) and #15 (driver change). ",0,PRN,FS1,1563,TRUE,NA,Sonoma
4791,1,2019,Camping World 400,1,FALSE,39,Chicagoland Speedway,2019-06-30T15:00:00,2019-06-30T14:00:00,2019-06-30T14:00:00,400.5,400.5,267,267,80,80,107,38,3873,176.263,23,13,5,25,140.677,2:50:49,.546,0,"Alex Bowman won the 19th Annual Camping World 400 at Chicagoland Speedway, his first career win in the Monster Energy NASCAR Cup Series. Prior to the start of the race the following cars dropped to the rear of the field for the reasons indicated: #24 (engine change), #32 (transmission change) and #36 (inspection failure).",0,MRN,NBCSN,1976,TRUE,NA,Chicagoland
4792,1,2019,Coke Zero Sugar 400,1,TRUE,105,Daytona International Speedway,2019-07-06T19:30:00,2019-07-07T13:00:00,2019-07-05T00:00:00,400,317.5,160,127,50,50,27,40,0,0,24,14,6,25,141.146,2:14:58,Caution,0,"Justin Haley won the Coke Zero Sugar 400 at Daytona International Speedway. His first victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: No. 24 (Backup car), Nos. 42, 77, 53, 62, 51, 95 (unapproved adjustments). ",0,MRN,NBC,408,TRUE,NA,Daytona
4793,1,2019,Quaker State 400 Presented by Walmart,1,FALSE,61,Kentucky Speedway,2019-07-13T19:30:00,2019-07-13T19:30:00,2019-07-12T00:00:00,400.5,403.5,267,269,80,80,109,36,4113,184.59,15,10,7,35,141.07,2:51:37,.076,0,"Kurt Busch won the 9th Annual Quaker State 400  presented by Walmart at Kentucky Speedway, his 31st victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. Nos. 6, 77 (Failing inspection once).",0,PRN,NBCSN,3889,TRUE,NA,Kentucky
4794,1,2019,Foxwoods Resort Casino 301,1,FALSE,138,New Hampshire Motor Speedway,2019-07-21T15:00:00,2019-07-21T15:00:00,2019-07-21T15:00:00,318.46,318.458,301,301,75,75,151,37,1816,136.384,14,7,9,48,104.062,3:03:37,0.210,0,"Kevin Harvick won the Foxwoods Resort Casino 301 at New Hampshire Motor Speedway. His 46th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 6, 11, 24, 42, 88 (Backup car).  ",0,PRN,NBCSN,1683,TRUE,NA,New Hampshire
4795,1,2019,Gander RV 400,1,FALSE,198,Pocono Raceway,2019-07-28T15:00:00,2019-07-28T15:00:00,2019-07-27T00:00:00,400,407.5,160,163,50,50,63,38,1416,174.058,9,5,7,24,136.313,2:59:22,0.341,0,"Denny Hamlin won the Gander RV 400 at Pocono Raceway, his 34th Monster Energy NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reasons indicated: #9, 42 (backup car), #43 (engine change), #3, 12, 15, 24, 27, 32, 34, 37, 48 (failed post-qualifying inspection).",0,MRN,NBCSN,1122,TRUE,NA,Pocono
4796,1,2019,Go Bowling at The Glen,1,FALSE,157,Watkins Glen International,2019-08-04T15:00:00,2019-08-04T15:00:00,2019-08-04T15:00:00,220.5,220.5,90,90,20,20,50,37,4062,127.297,5,4,4,13,98.523,2:14:17,0.454,0,"Chase Elliott won the 34th Annual Go Bowling at The Glen at Watkins Glen International, his 5th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 12 (Unapproved adjustments).",0,MRN,NBCSN,1482,TRUE,NA,Watkins-Glen
4797,1,2019,Consumers Energy 400,1,FALSE,133,Michigan International Speedway,2019-08-11T15:00:00,2019-08-11T15:00:00,2019-08-11T15:00:00,400,400,200,200,60,60,80,38,1816,190.471,19,8,6,24,149.084,2:40:59,1.054,0,"Kevin Harvick won the Consumers Energy 400 at Michigan International Speedway. His 47th victory in the Monster Energy NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reasons indicated: Nos. 3, 8 (qualifying time disallowed), No. 19 (multiple inspection failures), Nos. 32, 36 (transmission change), No. 77 (driver change). ",0,MRN,NBCSN,930,TRUE,NA,Michigan
4798,1,2019,Bass Pro Shops NRA Night Race,1,FALSE,14,Bristol Motor Speedway,2019-08-17T19:30:00,2019-08-17T19:30:00,2019-08-17T19:30:00,266.5,266.5,500,500,125,125,250,39,1361,129.23,23,10,8,61,94.531,2:49:09,.502,0,"Denny Hamlin won the Bass Pro Shops NRA Night Race at Bristol Motor Speedway, his 35th career Monster Energy NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear under penalty for the reasons indicated: #54 and 77 (unapproved adjustments).",0,PRN,NBCSN,612,TRUE,NA,Bristol
4799,1,2019,Bojangles' Southern 500,1,FALSE,4,Darlington Raceway,2019-09-01T18:00:00,2019-09-01T18:00:00,2019-09-01T18:00:00,501.32,501.322,367,367,100,100,167,39,4184,172.487,13,9,7,35,133.825,3:44:46,4.058,0,"Erik Jones won the 70th Annual Bojangles' Southern 500 at Darlington Raceway, his second career Monster Energy NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reasons indicated: #10 (backup car), #18 (enginge change), #77 (transmission), #27 and 51 (unapproved adjustments).",0,MRN,NBCSN,442,TRUE,NA,Darlington
